,Reference area,TIME_PERIOD,Unemp rate,Forecasts
84,Australia,2015-Q1,6.20281,6.317583
85,Australia,2015-Q2,6.016903,6.1732874
86,Australia,2015-Q3,6.178764,5.979604
87,Australia,2015-Q4,5.83471,6.0612745
88,Australia,2016-Q1,5.796363,5.7060075
89,Australia,2016-Q2,5.687189,5.7059026
90,Australia,2016-Q3,5.657904,5.565567
91,Australia,2016-Q4,5.733705,5.611303
92,Australia,2017-Q1,5.807653,5.6867585
93,Australia,2017-Q2,5.592649,5.8287582
94,Australia,2017-Q3,5.533132,5.5452986
95,Australia,2017-Q4,5.491755,5.5203843
96,Australia,2018-Q1,5.545322,5.421531
97,Australia,2018-Q2,5.44039,5.5321074
98,Australia,2018-Q3,5.186149,5.404589
99,Australia,2018-Q4,5.043092,5.1009884
100,Australia,2019-Q1,5.043594,4.940429
101,Australia,2019-Q2,5.224286,4.9761295
102,Australia,2019-Q3,5.25421,5.18798
103,Australia,2019-Q4,5.171724,5.2702193
188,Austria,2015-Q1,6.0,6.1525507
189,Austria,2015-Q2,6.266667,6.004485
190,Austria,2015-Q3,6.066667,6.2473655
191,Austria,2015-Q4,6.3,6.1269083
192,Austria,2016-Q1,6.466667,6.2301245
193,Austria,2016-Q2,6.6,6.4817305
194,Austria,2016-Q3,6.633333,6.7104607
195,Austria,2016-Q4,6.2,6.6379666
196,Austria,2017-Q1,6.166667,6.0950756
197,Austria,2017-Q2,5.9,6.116678
198,Austria,2017-Q3,5.866667,5.7668834
199,Austria,2017-Q4,5.833333,5.811747
200,Austria,2018-Q1,5.433333,5.7707496
201,Austria,2018-Q2,5.0,5.371142
202,Austria,2018-Q3,5.366667,4.806435
203,Austria,2018-Q4,5.1,5.089551
204,Austria,2019-Q1,5.066667,4.9075737
205,Austria,2019-Q2,4.866667,5.017827
206,Austria,2019-Q3,4.8,4.8208437
207,Austria,2019-Q4,4.533333,4.671589
292,Belgium,2015-Q1,8.833333,8.741875
293,Belgium,2015-Q2,8.666667,8.868811
294,Belgium,2015-Q3,8.266666,8.599015
295,Belgium,2015-Q4,8.833333,8.2246
296,Belgium,2016-Q1,8.266666,8.672336
297,Belgium,2016-Q2,8.166667,8.310734
298,Belgium,2016-Q3,7.7,8.168085
299,Belgium,2016-Q4,7.233333,7.4083343
300,Belgium,2017-Q1,7.633333,7.0771146
301,Belgium,2017-Q2,7.266667,7.3572216
302,Belgium,2017-Q3,7.066667,7.3965693
303,Belgium,2017-Q4,6.433333,7.11902
304,Belgium,2018-Q1,6.133333,6.2223654
305,Belgium,2018-Q2,6.333333,6.20355
306,Belgium,2018-Q3,5.7,6.184103
307,Belgium,2018-Q4,5.733333,5.535278
308,Belgium,2019-Q1,5.6,5.5262475
309,Belgium,2019-Q2,5.566667,5.501863
310,Belgium,2019-Q3,5.133333,5.547023
311,Belgium,2019-Q4,5.2,5.1421967
396,Canada,2015-Q1,6.866667,6.676386
397,Canada,2015-Q2,6.933333,6.9009714
398,Canada,2015-Q3,7.066667,6.9910426
399,Canada,2015-Q4,7.133333,7.1307487
400,Canada,2016-Q1,7.233333,7.2448287
401,Canada,2016-Q2,7.133333,7.325716
402,Canada,2016-Q3,6.966667,7.209867
403,Canada,2016-Q4,6.866667,6.942919
404,Canada,2017-Q1,6.733333,6.7999406
405,Canada,2017-Q2,6.533333,6.6248713
406,Canada,2017-Q3,6.233333,6.484203
407,Canada,2017-Q4,6.166667,6.1592946
408,Canada,2018-Q1,5.9,6.0417566
409,Canada,2018-Q2,5.9,5.707982
410,Canada,2018-Q3,5.9,5.8273363
411,Canada,2018-Q4,5.633333,5.812331
412,Canada,2019-Q1,5.766667,5.621674
413,Canada,2019-Q2,5.6,5.6652336
414,Canada,2019-Q3,5.666667,5.544729
415,Canada,2019-Q4,5.7,5.6241884
500,Denmark,2015-Q1,6.366667,6.8818274
501,Denmark,2015-Q2,6.333333,6.13638
502,Denmark,2015-Q3,6.233333,6.3574743
503,Denmark,2015-Q4,6.133333,6.0992637
504,Denmark,2016-Q1,5.966667,6.1533995
505,Denmark,2016-Q2,6.066667,5.8791904
506,Denmark,2016-Q3,6.0,5.962478
507,Denmark,2016-Q4,5.9,5.9424734
508,Denmark,2017-Q1,6.1,5.856751
509,Denmark,2017-Q2,5.866667,5.975647
510,Denmark,2017-Q3,5.933333,5.7932363
511,Denmark,2017-Q4,5.4,5.956557
512,Denmark,2018-Q1,5.2,5.26265
513,Denmark,2018-Q2,5.133333,5.139997
514,Denmark,2018-Q3,4.9,4.9825764
515,Denmark,2018-Q4,5.266667,4.868822
516,Denmark,2019-Q1,5.133333,5.2010927
517,Denmark,2019-Q2,4.9,5.0826187
518,Denmark,2019-Q3,4.866667,4.981189
519,Denmark,2019-Q4,5.1,4.8080177
604,Finland,2015-Q1,9.3,9.276487
605,Finland,2015-Q2,9.7,9.556516
606,Finland,2015-Q3,9.3,9.777289
607,Finland,2015-Q4,9.5,9.627392
608,Finland,2016-Q1,9.233334,9.398881
609,Finland,2016-Q2,8.9,9.096283
610,Finland,2016-Q3,8.6,8.9141
611,Finland,2016-Q4,8.966666,8.357872
612,Finland,2017-Q1,8.966666,8.789452
613,Finland,2017-Q2,8.966666,8.925436
614,Finland,2017-Q3,8.566667,8.88649
615,Finland,2017-Q4,8.433333,8.474656
616,Finland,2018-Q1,8.433333,8.328102
617,Finland,2018-Q2,7.2,8.329987
618,Finland,2018-Q3,7.3,7.0182695
619,Finland,2018-Q4,6.766667,7.302262
620,Finland,2019-Q1,6.733333,6.256098
621,Finland,2019-Q2,6.766667,6.666576
622,Finland,2019-Q3,6.733333,6.6250105
623,Finland,2019-Q4,6.766667,6.7239337
708,France,2015-Q1,10.36667,10.671015
709,France,2015-Q2,10.43333,10.440461
710,France,2015-Q3,10.3,10.452607
711,France,2015-Q4,10.26667,10.274137
712,France,2016-Q1,10.3,10.3716135
713,France,2016-Q2,10.0,10.326937
714,France,2016-Q3,9.866667,9.919218
715,France,2016-Q4,10.06667,9.835648
716,France,2017-Q1,9.633333,9.999678
717,France,2017-Q2,9.5,9.594742
718,France,2017-Q3,9.466666,9.485229
719,France,2017-Q4,9.033334,9.36669
720,France,2018-Q1,9.266666,8.892054
721,France,2018-Q2,9.1,9.205302
722,France,2018-Q3,8.933333,9.106769
723,France,2018-Q4,8.766666,8.911446
724,France,2019-Q1,8.733334,8.666062
725,France,2019-Q2,8.5,8.656765
726,France,2019-Q3,8.3,8.396595
727,France,2019-Q4,8.2,8.24885
812,Germany,2015-Q1,4.5,4.611717
813,Germany,2015-Q2,4.4,4.5110655
814,Germany,2015-Q3,4.3,4.233443
815,Germany,2015-Q4,4.2,4.218671
816,Germany,2016-Q1,4.066667,4.1891227
817,Germany,2016-Q2,4.0,4.016781
818,Germany,2016-Q3,3.866667,3.9640176
819,Germany,2016-Q4,3.7,3.7870276
820,Germany,2017-Q1,3.633333,3.6269157
821,Germany,2017-Q2,3.566667,3.5854795
822,Germany,2017-Q3,3.466667,3.511844
823,Germany,2017-Q4,3.4,3.4125452
824,Germany,2018-Q1,3.3,3.3458803
825,Germany,2018-Q2,3.2,3.2911212
826,Germany,2018-Q3,3.166667,3.0940323
827,Germany,2018-Q4,3.1,3.224885
828,Germany,2019-Q1,3.0,3.0772889
829,Germany,2019-Q2,2.9,2.8687892
830,Germany,2019-Q3,2.9,2.8460174
831,Germany,2019-Q4,3.0,2.884989
916,Ireland,2015-Q1,10.63333,10.569189
917,Ireland,2015-Q2,10.06667,10.607368
918,Ireland,2015-Q3,9.533334,9.30547
919,Ireland,2015-Q4,9.433333,10.847296
920,Ireland,2016-Q1,8.933333,9.369187
921,Ireland,2016-Q2,8.833333,8.802831
922,Ireland,2016-Q3,8.233334,8.828436
923,Ireland,2016-Q4,7.566667,8.115761
924,Ireland,2017-Q1,7.266667,6.9784274
925,Ireland,2017-Q2,6.666667,7.946909
926,Ireland,2017-Q3,6.633333,6.891023
927,Ireland,2017-Q4,6.433333,6.612816
928,Ireland,2018-Q1,5.966667,6.048923
929,Ireland,2018-Q2,5.866667,5.8641763
930,Ireland,2018-Q3,5.7,5.669238
931,Ireland,2018-Q4,5.733333,5.5099277
932,Ireland,2019-Q1,5.033333,5.623479
933,Ireland,2019-Q2,5.166667,4.7453065
934,Ireland,2019-Q3,5.0,5.0180387
935,Ireland,2019-Q4,4.8,4.8914948
1020,Italy,2015-Q1,12.5,12.974713
1021,Italy,2015-Q2,12.33333,12.430349
1022,Italy,2015-Q3,11.63333,12.352774
1023,Italy,2015-Q4,11.66667,11.284472
1024,Italy,2016-Q1,11.63333,11.699134
1025,Italy,2016-Q2,11.7,11.492517
1026,Italy,2016-Q3,11.7,11.71071
1027,Italy,2016-Q4,11.83333,11.73065
1028,Italy,2017-Q1,11.6,11.864095
1029,Italy,2017-Q2,11.26667,11.567597
1030,Italy,2017-Q3,11.33333,11.328925
1031,Italy,2017-Q4,11.0,11.315401
1032,Italy,2018-Q1,10.93333,10.881335
1033,Italy,2018-Q2,10.76667,11.010841
1034,Italy,2018-Q3,10.23333,10.672475
1035,Italy,2018-Q4,10.5,10.059728
1036,Italy,2019-Q1,10.36667,10.397575
1037,Italy,2019-Q2,10.0,10.379187
1038,Italy,2019-Q3,9.6,9.830578
1039,Italy,2019-Q4,9.666667,9.547649
1124,Japan,2015-Q1,3.5,3.5237172
1125,Japan,2015-Q2,3.366667,3.4420514
1126,Japan,2015-Q3,3.366667,3.331902
1127,Japan,2015-Q4,3.266667,3.3764062
1128,Japan,2016-Q1,3.233333,3.1410472
1129,Japan,2016-Q2,3.166667,3.1863286
1130,Japan,2016-Q3,3.033333,3.164697
1131,Japan,2016-Q4,3.0,2.9544053
1132,Japan,2017-Q1,2.9,2.9766297
1133,Japan,2017-Q2,2.866667,2.8602412
1134,Japan,2017-Q3,2.8,2.9532058
1135,Japan,2017-Q4,2.7,2.7644627
1136,Japan,2018-Q1,2.466667,2.6587536
1137,Japan,2018-Q2,2.366667,2.3653316
1138,Japan,2018-Q3,2.433333,2.3801053
1139,Japan,2018-Q4,2.466667,2.3802683
1140,Japan,2019-Q1,2.466667,2.5317006
1141,Japan,2019-Q2,2.333333,2.6243892
1142,Japan,2019-Q3,2.333333,2.2787232
1143,Japan,2019-Q4,2.3,2.3787398
1228,Korea,2015-Q1,3.533333,3.6755328
1229,Korea,2015-Q2,3.666667,3.5441916
1230,Korea,2015-Q3,3.633333,3.696264
1231,Korea,2015-Q4,3.533333,3.631796
1232,Korea,2016-Q1,3.7,3.5373087
1233,Korea,2016-Q2,3.566667,3.6657047
1234,Korea,2016-Q3,3.8,3.540815
1235,Korea,2016-Q4,3.666667,3.696385
1236,Korea,2017-Q1,3.666667,3.6483717
1237,Korea,2017-Q2,3.666667,3.6712773
1238,Korea,2017-Q3,3.766667,3.6072087
1239,Korea,2017-Q4,3.666667,3.662366
1240,Korea,2018-Q1,3.7,3.668839
1241,Korea,2018-Q2,3.733333,3.7270157
1242,Korea,2018-Q3,4.166667,3.6785157
1243,Korea,2018-Q4,3.866667,4.2004137
1244,Korea,2019-Q1,3.833333,4.0302534
1245,Korea,2019-Q2,3.9,3.8647234
1246,Korea,2019-Q3,3.733333,3.8581505
1247,Korea,2019-Q4,3.566667,3.7920394
1332,Luxembourg,2015-Q1,6.366667,6.0445237
1333,Luxembourg,2015-Q2,6.5,6.5645504
1334,Luxembourg,2015-Q3,6.5,6.6359344
1335,Luxembourg,2015-Q4,6.5,6.5780406
1336,Luxembourg,2016-Q1,6.4,6.622006
1337,Luxembourg,2016-Q2,6.3,6.290051
1338,Luxembourg,2016-Q3,6.3,6.2248836
1339,Luxembourg,2016-Q4,6.3,6.388458
1340,Luxembourg,2017-Q1,5.9,6.265388
1341,Luxembourg,2017-Q2,5.533333,5.9279623
1342,Luxembourg,2017-Q3,5.566667,5.605635
1343,Luxembourg,2017-Q4,5.466667,5.4796066
1344,Luxembourg,2018-Q1,5.566667,5.376181
1345,Luxembourg,2018-Q2,5.533333,5.549643
1346,Luxembourg,2018-Q3,5.633333,5.5220494
1347,Luxembourg,2018-Q4,5.4,5.6134377
1348,Luxembourg,2019-Q1,5.5,5.342221
1349,Luxembourg,2019-Q2,5.633333,5.4307256
1350,Luxembourg,2019-Q3,5.666667,5.575669
1351,Luxembourg,2019-Q4,5.633333,5.6572185
1436,Mexico,2015-Q1,4.327652,4.3707643
1437,Mexico,2015-Q2,4.459894,4.381805
1438,Mexico,2015-Q3,4.325769,4.374566
1439,Mexico,2015-Q4,4.299985,4.2956395
1440,Mexico,2016-Q1,4.138545,4.2967873
1441,Mexico,2016-Q2,3.984845,4.01808
1442,Mexico,2016-Q3,3.784792,3.9344027
1443,Mexico,2016-Q4,3.633149,3.6680467
1444,Mexico,2017-Q1,3.476903,3.4645612
1445,Mexico,2017-Q2,3.4753,3.3209326
1446,Mexico,2017-Q3,3.275204,3.4268699
1447,Mexico,2017-Q4,3.447579,3.4106545
1448,Mexico,2018-Q1,3.209983,3.356135
1449,Mexico,2018-Q2,3.333898,3.1533768
1450,Mexico,2018-Q3,3.235572,3.3446667
1451,Mexico,2018-Q4,3.368537,3.01985
1452,Mexico,2019-Q1,3.43338,3.4321384
1453,Mexico,2019-Q2,3.541282,3.559211
1454,Mexico,2019-Q3,3.469288,3.6921258
1455,Mexico,2019-Q4,3.423834,3.5969734
1540,Netherlands,2015-Q1,8.166667,8.012069
1541,Netherlands,2015-Q2,8.0,8.222933
1542,Netherlands,2015-Q3,7.733333,7.906738
1543,Netherlands,2015-Q4,7.733333,7.561593
1544,Netherlands,2016-Q1,7.433333,7.723292
1545,Netherlands,2016-Q2,7.233333,7.3780637
