,Reference area,TIME_PERIOD,OBS_VALUE
2285,Australia,1994-Q1,1.4851510657249323
3707,Norway,1994-Q1,1.2435076431598135
3522,New Zealand,1994-Q1,1.3032035592361435
564,Portugal,1994-Q1,6.284907568128806
5674,Spain,1994-Q1,4.997026299464458
8077,France,1994-Q1,1.698283261802569
4260,Sweden,1994-Q1,1.6401408976280285
3154,Netherlands,1994-Q1,2.967537412639798
6360,Italy,1994-Q1,4.373008580379234
5235,Austria,1994-Q1,3.0892349884958925
1917,United States,1994-Q1,2.5157092074887366
8814,Canada,1994-Q1,0.5479569314649879
8445,Belgium,1994-Q1,2.409133334850999
7525,Denmark,1994-Q1,1.7707162523171949
2976,Mexico,1994-Q1,7.25767196121947
5489,Korea,1994-Q1,6.519702830681573
6795,Ireland,1994-Q1,1.7295601001522831
2100,United Kingdom,1994-Q1,2.392344497607657
5858,Japan,1994-Q1,1.198878406244619
239,Luxembourg,1994-Q1,2.5065709965695238
8261,Finland,1994-Q1,0.2894405682357437
8629,Germany,1994-Q1,2.9720277017459384
8446,Belgium,1994-Q2,2.573575818409801
8262,Finland,1994-Q2,0.5454076052179513
3523,New Zealand,1994-Q2,1.0936039858436386
5490,Korea,1994-Q2,5.839047373407036
2101,United Kingdom,1994-Q2,2.3622047244094446
8815,Canada,1994-Q2,0.0
5675,Spain,1994-Q2,4.837704064599491
5236,Austria,1994-Q2,2.938220984707174
5859,Japan,1994-Q2,0.7686981429400497
8078,France,1994-Q2,1.6964009764064647
2977,Mexico,1994-Q2,6.925281452330889
3155,Netherlands,1994-Q2,2.913206927088363
240,Luxembourg,1994-Q2,2.131602994306414
6796,Ireland,1994-Q2,2.6771628340932274
8630,Germany,1994-Q2,2.772948488770788
3708,Norway,1994-Q2,0.9753696599265727
6361,Italy,1994-Q2,4.062952354960858
4261,Sweden,1994-Q2,2.027018855301166
2286,Australia,1994-Q2,1.8092055745895674
565,Portugal,1994-Q2,5.891221900918553
7526,Denmark,1994-Q2,2.0067508030251036
1918,United States,1994-Q2,2.3809523809523725
2978,Mexico,1994-Q3,6.752281810938432
566,Portugal,1994-Q3,5.094226083968101
8079,France,1994-Q3,1.6244258830809821
3524,New Zealand,1994-Q3,1.7745694259815759
2102,United Kingdom,1994-Q3,2.0408163265306145
8631,Germany,1994-Q3,2.581753902885331
6797,Ireland,1994-Q3,2.4961031581857585
8447,Belgium,1994-Q3,2.5389445095212793
1919,United States,1994-Q3,2.8781930168667813
5676,Spain,1994-Q3,4.692495850137046
8816,Canada,1994-Q3,0.1556474616757786
241,Luxembourg,1994-Q3,2.1226607806874576
5237,Austria,1994-Q3,3.028198766697221
2287,Australia,1994-Q3,1.9640027117888925
5491,Korea,1994-Q3,6.9121840742505825
7527,Denmark,1994-Q3,2.091083898793089
4262,Sweden,1994-Q3,2.591367133531497
5860,Japan,1994-Q3,0.0
3709,Norway,1994-Q3,1.5400411468193598
6362,Italy,1994-Q3,3.82435917536883
3156,Netherlands,1994-Q3,2.6715270041112626
8263,Finland,1994-Q3,1.7877796595408002
6798,Ireland,1994-Q4,2.3328080478519198
8080,France,1994-Q4,1.6036539046609732
5238,Austria,1994-Q4,2.759786191702829
8448,Belgium,1994-Q4,1.991867538971781
567,Portugal,1994-Q4,4.453499303414521
1920,United States,1994-Q4,2.6526446691255146
8817,Canada,1994-Q4,-0.03871969805102626
3157,Netherlands,1994-Q4,2.658597970530985
5677,Spain,1994-Q4,4.358170301054742
5492,Korea,1994-Q4,5.800547374979392
3710,Norway,1994-Q4,1.7417980665062505
5861,Japan,1994-Q4,0.8022417091686052
2288,Australia,1994-Q4,2.6143734503026206
8264,Finland,1994-Q4,1.7310418263422944
4263,Sweden,1994-Q4,2.3703443064847285
242,Luxembourg,1994-Q4,2.0232856598146665
2979,Mexico,1994-Q4,6.9378054469946715
6363,Italy,1994-Q4,3.9551231648115692
7528,Denmark,1994-Q4,2.0969097212510945
8632,Germany,1994-Q4,2.450574043955922
3525,New Zealand,1994-Q4,2.8000028463830873
2103,United Kingdom,1994-Q4,2.1909233176838683
8633,Germany,1995-Q1,2.0797956797324657
2104,United Kingdom,1995-Q1,2.336448598130847
2289,Australia,1995-Q1,3.7398417825238006
8818,Canada,1995-Q1,1.5181052896686698
1921,United States,1995-Q1,2.8402781581305714
2980,Mexico,1995-Q1,15.006163594037947
5493,Korea,1995-Q1,4.758909625200181
8449,Belgium,1995-Q1,1.8130531348861112
4264,Sweden,1995-Q1,2.57617276257045
243,Luxembourg,1995-Q1,2.2881226768971974
5239,Austria,1995-Q1,2.4661056689785577
3158,Netherlands,1995-Q1,2.4016771751627086
7529,Denmark,1995-Q1,2.355002787205329
5678,Spain,1995-Q1,4.767829326843276
568,Portugal,1995-Q1,4.650829811417068
8081,France,1995-Q1,1.760670610306736
6799,Ireland,1995-Q1,2.472955436666391
8265,Finland,1995-Q1,1.7100694636906333
3711,Norway,1995-Q1,2.661218150522937
3526,New Zealand,1995-Q1,4.000006325295735
6364,Italy,1995-Q1,4.356277437529865
5862,Japan,1995-Q1,0.20905496191609974
6365,Italy,1995-Q2,5.334067839875667
5863,Japan,1995-Q2,-0.034678464019921584
8450,Belgium,1995-Q2,1.4569455415777588
2981,Mexico,1995-Q2,33.76846689938389
3527,New Zealand,1995-Q2,4.581681527017167
4265,Sweden,1995-Q2,2.746025578894651
