,Reference area,TIME_PERIOD,OBS_VALUE
0,Australia,1994-Q1,1.6678011
1,Australia,1994-Q2,1.191699719
2,Australia,1994-Q3,0.762460616
3,Australia,1994-Q4,1.103093845
4,Australia,1995-Q1,-0.07933694
5,Australia,1995-Q2,0.476399599
6,Australia,1995-Q3,2.310911882
7,Australia,1995-Q4,-0.016062884
8,Australia,1996-Q1,1.545019193
9,Australia,1996-Q2,0.640246673
10,Australia,1996-Q3,0.797725562
11,Australia,1996-Q4,0.954340324
12,Australia,1997-Q1,0.70241523
13,Australia,1997-Q2,2.982965209
14,Australia,1997-Q3,0.148330333
15,Australia,1997-Q4,1.443762263
16,Australia,1998-Q1,0.609280531
17,Australia,1998-Q2,1.047148018
18,Australia,1998-Q3,1.862387686
19,Australia,1998-Q4,1.549371726
20,Australia,1999-Q1,0.744324857
21,Australia,1999-Q2,0.378099666
22,Australia,1999-Q3,1.105677414
23,Australia,1999-Q4,1.701455987
24,Australia,2000-Q1,0.391429631
25,Australia,2000-Q2,0.972485094
26,Australia,2000-Q3,0.280604778
27,Australia,2000-Q4,-0.39376819
28,Australia,2001-Q1,0.943087873
29,Australia,2001-Q2,0.876495136
30,Australia,2001-Q3,1.143932371
31,Australia,2001-Q4,1.193098033
32,Australia,2002-Q1,0.779712339
33,Australia,2002-Q2,1.721732785
34,Australia,2002-Q3,0.24684716
35,Australia,2002-Q4,0.840265391
36,Australia,2003-Q1,0.230360646
37,Australia,2003-Q2,0.390947305
38,Australia,2003-Q3,1.705483838
39,Australia,2003-Q4,1.69931808
40,Australia,2004-Q1,0.746225632
41,Australia,2004-Q2,0.73671744
42,Australia,2004-Q3,0.676992385
43,Australia,2004-Q4,0.765909425
44,Australia,2005-Q1,0.821196761
45,Australia,2005-Q2,0.445769895
46,Australia,2005-Q3,1.085197891
47,Australia,2005-Q4,0.842618467
48,Australia,2006-Q1,0.066978289
49,Australia,2006-Q2,0.23968777
50,Australia,2006-Q3,1.531791432
51,Australia,2006-Q4,1.256501341
52,Australia,2007-Q1,1.363490829
53,Australia,2007-Q2,0.62609708
54,Australia,2007-Q3,1.204043973
55,Australia,2007-Q4,0.365999287
56,Australia,2008-Q1,1.109666482
57,Australia,2008-Q2,0.339703873
58,Australia,2008-Q3,0.707786302
59,Australia,2008-Q4,-0.426051355
60,Australia,2009-Q1,1.00611218
61,Australia,2009-Q2,0.617159306
62,Australia,2009-Q3,0.353762759
63,Australia,2009-Q4,0.803318796
64,Australia,2010-Q1,0.444889052
65,Australia,2010-Q2,0.622565314
66,Australia,2010-Q3,0.702865125
67,Australia,2010-Q4,0.836680401
68,Australia,2011-Q1,-0.291590753
69,Australia,2011-Q2,1.207515262
70,Australia,2011-Q3,1.394235178
71,Australia,2011-Q4,1.111184802
72,Australia,2012-Q1,1.04093372
73,Australia,2012-Q2,0.717822415
74,Australia,2012-Q3,0.612900202
75,Australia,2012-Q4,0.441830218
76,Australia,2013-Q1,0.517002122
77,Australia,2013-Q2,0.378210317
78,Australia,2013-Q3,0.823295942
79,Australia,2013-Q4,0.779715244
80,Australia,2014-Q1,0.779715336
81,Australia,2014-Q2,0.498329548
82,Australia,2014-Q3,0.400558399
83,Australia,2014-Q4,0.367629338
84,Australia,2015-Q1,0.969735031
85,Australia,2015-Q2,0.118177577
86,Australia,2015-Q3,0.974270987
87,Australia,2015-Q4,0.620687534
88,Australia,2016-Q1,0.916475884
89,Australia,2016-Q2,0.658660332
90,Australia,2016-Q3,-0.009383271
91,Australia,2016-Q4,1.165936591
92,Australia,2017-Q1,0.311883605
93,Australia,2017-Q2,0.598448222
94,Australia,2017-Q3,0.947658517
95,Australia,2017-Q4,0.399283214
96,Australia,2018-Q1,1.031201283
97,Australia,2018-Q2,0.742217472
98,Australia,2018-Q3,0.377453659
99,Australia,2018-Q4,0.254932833
100,Australia,2019-Q1,0.725262388
101,Australia,2019-Q2,0.305697789
102,Australia,2019-Q3,0.583900808
103,Australia,2019-Q4,0.590704258
104,Austria,1994-Q1,0.321515999
105,Austria,1994-Q2,0.172232155
106,Austria,1994-Q3,0.906741452
107,Austria,1994-Q4,1.350074333
108,Austria,1995-Q1,0.836180191
109,Austria,1995-Q2,0.424044226
110,Austria,1995-Q3,0.226812689
111,Austria,1995-Q4,0.344772176
112,Austria,1996-Q1,0.708655661
113,Austria,1996-Q2,0.706591897
114,Austria,1996-Q3,0.631646945
115,Austria,1996-Q4,-0.050251446
116,Austria,1997-Q1,1.330420964
117,Austria,1997-Q2,-0.203195926
118,Austria,1997-Q3,0.754809351
119,Austria,1997-Q4,0.942888843
120,Austria,1998-Q1,1.383747767
121,Austria,1998-Q2,0.861931917
122,Austria,1998-Q3,0.183760738
123,Austria,1998-Q4,0.932891898
124,Austria,1999-Q1,0.867081324
125,Austria,1999-Q2,0.936085785
126,Austria,1999-Q3,1.564859225
127,Austria,1999-Q4,0.898036879
128,Austria,2000-Q1,0.015527954
129,Austria,2000-Q2,1.142568295
130,Austria,2000-Q3,1.409760796
131,Austria,2000-Q4,0.672399995
132,Austria,2001-Q1,-0.299150831
133,Austria,2001-Q2,-0.286956481
134,Austria,2001-Q3,0.409338426
135,Austria,2001-Q4,0.232241016
136,Austria,2002-Q1,1.104164111
137,Austria,2002-Q2,0.259965385
138,Austria,2002-Q3,-0.005872661
139,Austria,2002-Q4,-0.495727451
140,Austria,2003-Q1,0.473603835
141,Austria,2003-Q2,0.686941933
142,Austria,2003-Q3,0.749872252
143,Austria,2003-Q4,0.305607145
144,Austria,2004-Q1,0.190242722
145,Austria,2004-Q2,1.030618059
146,Austria,2004-Q3,1.145377339
147,Austria,2004-Q4,0.356282127
148,Austria,2005-Q1,0.221174786
149,Austria,2005-Q2,0.814171577
150,Austria,2005-Q3,0.177136127
151,Austria,2005-Q4,1.56676332
152,Austria,2006-Q1,0.917615419
153,Austria,2006-Q2,0.466577357
154,Austria,2006-Q3,0.601781182
155,Austria,2006-Q4,1.512517453
156,Austria,2007-Q1,1.108823545
157,Austria,2007-Q2,0.967039285
158,Austria,2007-Q3,0.579047313
159,Austria,2007-Q4,-0.094004955
160,Austria,2008-Q1,2.087880204
161,Austria,2008-Q2,-0.245610202
162,Austria,2008-Q3,-0.695157298
163,Austria,2008-Q4,-2.544742838
164,Austria,2009-Q1,-1.092053967
165,Austria,2009-Q2,-0.541314771
166,Austria,2009-Q3,0.341351472
167,Austria,2009-Q4,0.25145978
168,Austria,2010-Q1,-0.352575597
169,Austria,2010-Q2,1.325303279
170,Austria,2010-Q3,1.18458049
171,Austria,2010-Q4,0.97795935
172,Austria,2011-Q1,0.999412169
173,Austria,2011-Q2,-0.048821639
174,Austria,2011-Q3,0.550993719
175,Austria,2011-Q4,0.430882638
176,Austria,2012-Q1,0.423627778
177,Austria,2012-Q2,-0.344954335
178,Austria,2012-Q3,0.324506204
179,Austria,2012-Q4,-0.688171605
180,Austria,2013-Q1,-0.387542686
181,Austria,2013-Q2,0.452776629
182,Austria,2013-Q3,0.283804227
183,Austria,2013-Q4,0.08670649
184,Austria,2014-Q1,0.004461063
185,Austria,2014-Q2,0.495858402
186,Austria,2014-Q3,0.161509767
187,Austria,2014-Q4,0.41511059
188,Austria,2015-Q1,0.029269416
189,Austria,2015-Q2,0.565311743
190,Austria,2015-Q3,0.375599579
191,Austria,2015-Q4,0.401298904
192,Austria,2016-Q1,1.146126004
193,Austria,2016-Q2,-0.05731429
194,Austria,2016-Q3,0.548569491
195,Austria,2016-Q4,0.604465055
196,Austria,2017-Q1,0.984626202
197,Austria,2017-Q2,0.322572203
198,Austria,2017-Q3,0.634783306
199,Austria,2017-Q4,0.474330492
200,Austria,2018-Q1,0.571056079
201,Austria,2018-Q2,0.805638906
202,Austria,2018-Q3,0.41065038
203,Austria,2018-Q4,0.93799508
204,Austria,2019-Q1,1.138337258
205,Austria,2019-Q2,-0.619932462
206,Austria,2019-Q3,0.160808055
207,Austria,2019-Q4,-0.649223825
208,Belgium,1994-Q1,0.70359509
209,Belgium,1994-Q2,1.149795769
210,Belgium,1994-Q3,0.279731148
211,Belgium,1994-Q4,1.682112024
212,Belgium,1995-Q1,-0.228215761
213,Belgium,1995-Q2,0.509610605
214,Belgium,1995-Q3,0.771246562
215,Belgium,1995-Q4,0.289011858
216,Belgium,1996-Q1,-0.446835076
217,Belgium,1996-Q2,0.758075775
218,Belgium,1996-Q3,0.536744154
219,Belgium,1996-Q4,0.794877567
220,Belgium,1997-Q1,0.956604167
221,Belgium,1997-Q2,1.514589166
222,Belgium,1997-Q3,0.90882677
223,Belgium,1997-Q4,0.553438022
224,Belgium,1998-Q1,0.244711441
225,Belgium,1998-Q2,0.321835414
226,Belgium,1998-Q3,0.33159921
227,Belgium,1998-Q4,0.222188062
228,Belgium,1999-Q1,1.023763537
229,Belgium,1999-Q2,1.351963711
230,Belgium,1999-Q3,1.489723581
231,Belgium,1999-Q4,1.179803347
232,Belgium,2000-Q1,0.686431063
233,Belgium,2000-Q2,0.702927173
234,Belgium,2000-Q3,0.501352989
235,Belgium,2000-Q4,0.977661783
236,Belgium,2001-Q1,0.03915098
237,Belgium,2001-Q2,0.005777688
238,Belgium,2001-Q3,-0.152609347
239,Belgium,2001-Q4,-0.100985289
240,Belgium,2002-Q1,0.838205563
241,Belgium,2002-Q2,0.840883475
242,Belgium,2002-Q3,0.572393359
243,Belgium,2002-Q4,0.372192925
244,Belgium,2003-Q1,-0.284257863
245,Belgium,2003-Q2,0.198480063
246,Belgium,2003-Q3,0.447213943
247,Belgium,2003-Q4,0.694619773
