,Reference area,TIME_PERIOD,OBS_VALUE
5068,Mexico,1994-Q1,3.6
5844,Australia,1994-Q1,10.44028
56,Japan,1994-Q1,2.866667
4401,Finland,1994-Q1,17.0
944,United Kingdom,1994-Q1,9.9
598,Denmark,1994-Q1,8.4
2417,Norway,1994-Q1,6.0
771,Netherlands,1994-Q1,6.833333
2832,Italy,1994-Q1,10.43333
2271,Spain,1994-Q1,22.23333
1798,Ireland,1994-Q1,15.13333
2111,New Zealand,1994-Q1,9.3
426,United States,1994-Q1,6.566667
1458,Belgium,1994-Q1,9.666667
2557,Korea,1994-Q1,2.7
3621,Portugal,1994-Q1,7.3
2959,Austria,1994-Q1,3.9
241,Canada,1994-Q1,11.03333
1628,France,1994-Q1,10.8
1116,Luxembourg,1994-Q1,3.2
1287,Sweden,1994-Q1,9.733334
2697,Germany,1994-Q1,8.466666
2272,Spain,1994-Q2,22.2
1459,Belgium,1994-Q2,9.8
2698,Germany,1994-Q2,8.533334
2112,New Zealand,1994-Q2,8.5
2960,Austria,1994-Q2,3.833333
5845,Australia,1994-Q2,9.882815
1629,France,1994-Q2,10.76667
2558,Korea,1994-Q2,2.533333
2833,Italy,1994-Q2,10.56667
2418,Norway,1994-Q2,6.133333
242,Canada,1994-Q2,10.63333
4402,Finland,1994-Q2,17.06667
945,United Kingdom,1994-Q2,9.7
1117,Luxembourg,1994-Q2,3.3
5069,Mexico,1994-Q2,3.433333
772,Netherlands,1994-Q2,7.0
57,Japan,1994-Q2,2.8
427,United States,1994-Q2,6.2
1288,Sweden,1994-Q2,9.366667
3622,Portugal,1994-Q2,7.566667
599,Denmark,1994-Q2,7.833333
1799,Ireland,1994-Q2,14.66667
5070,Mexico,1994-Q3,3.566667
2559,Korea,1994-Q3,2.433333
1289,Sweden,1994-Q3,9.233334
243,Canada,1994-Q3,10.13333
1800,Ireland,1994-Q3,14.13333
2961,Austria,1994-Q3,3.8
5846,Australia,1994-Q3,9.477625
1118,Luxembourg,1994-Q3,3.133333
1630,France,1994-Q3,10.63333
428,United States,1994-Q3,6.0
58,Japan,1994-Q3,2.966667
2419,Norway,1994-Q3,5.9
3623,Portugal,1994-Q3,7.666667
946,United Kingdom,1994-Q3,9.4
773,Netherlands,1994-Q3,7.3
2273,Spain,1994-Q3,22.03333
2834,Italy,1994-Q3,10.4
2113,New Zealand,1994-Q3,8.0
2699,Germany,1994-Q3,8.433333
4403,Finland,1994-Q3,16.53333
1460,Belgium,1994-Q3,9.8
600,Denmark,1994-Q3,7.5
1119,Luxembourg,1994-Q4,3.0
2962,Austria,1994-Q4,3.8
1290,Sweden,1994-Q4,9.0
1461,Belgium,1994-Q4,9.733334
59,Japan,1994-Q4,2.933333
5847,Australia,1994-Q4,9.057627
2114,New Zealand,1994-Q4,7.6
244,Canada,1994-Q4,9.766666
1631,France,1994-Q4,10.46667
601,Denmark,1994-Q4,7.2
947,United Kingdom,1994-Q4,9.0
3624,Portugal,1994-Q4,7.8
5071,Mexico,1994-Q4,4.0
429,United States,1994-Q4,5.633333
4404,Finland,1994-Q4,15.7
2560,Korea,1994-Q4,2.233333
2700,Germany,1994-Q4,8.266666
2420,Norway,1994-Q4,5.966667
2274,Spain,1994-Q4,21.73333
