,Reference area,TIME_PERIOD,Unemp rate,Forecasts
84,Australia,2015-Q1,6.20281,6.322898767951942
85,Australia,2015-Q2,6.016903,6.1782975505637685
86,Australia,2015-Q3,6.178764,5.878252208442535
87,Australia,2015-Q4,5.83471,6.260901961146914
88,Australia,2016-Q1,5.796363,5.767956640708155
89,Australia,2016-Q2,5.687189,5.706424755334151
90,Australia,2016-Q3,5.657904,5.663778112183577
91,Australia,2016-Q4,5.733705,5.62248737523171
92,Australia,2017-Q1,5.807653,5.792250744529527
93,Australia,2017-Q2,5.592649,5.821386297721783
94,Australia,2017-Q3,5.533132,5.552278035445624
95,Australia,2017-Q4,5.491755,5.461480526994159
96,Australia,2018-Q1,5.545322,5.468448041844496
97,Australia,2018-Q2,5.44039,5.593716993850003
98,Australia,2018-Q3,5.186149,5.404093346543263
99,Australia,2018-Q4,5.043092,5.067629442258679
100,Australia,2019-Q1,5.043594,4.956558453149203
101,Australia,2019-Q2,5.224286,5.074527175082039
102,Australia,2019-Q3,5.25421,5.275655611500392
103,Australia,2019-Q4,5.171724,5.305433902551937
188,Austria,2015-Q1,6.0,6.023447793433762
189,Austria,2015-Q2,6.266667,5.953869847129325
190,Austria,2015-Q3,6.066667,6.142215220802045
191,Austria,2015-Q4,6.3,6.016344290757296
192,Austria,2016-Q1,6.466667,6.2305433027332615
193,Austria,2016-Q2,6.6,6.35096659672979
194,Austria,2016-Q3,6.633333,6.595011551821195
195,Austria,2016-Q4,6.2,6.521742911573886
196,Austria,2017-Q1,6.166667,6.1109401862166
197,Austria,2017-Q2,5.9,6.0906359592531585
198,Austria,2017-Q3,5.866667,5.9171052496621375
199,Austria,2017-Q4,5.833333,5.7948877200344295
200,Austria,2018-Q1,5.433333,5.802912430750112
201,Austria,2018-Q2,5.0,5.425652808409585
202,Austria,2018-Q3,5.366667,4.964922735019298
203,Austria,2018-Q4,5.1,5.354247975667308
204,Austria,2019-Q1,5.066667,5.080924875532147
205,Austria,2019-Q2,4.866667,5.064506358296502
206,Austria,2019-Q3,4.8,4.917468808946685
207,Austria,2019-Q4,4.533333,4.793946090745418
292,Belgium,2015-Q1,8.833333,8.703011145335338
293,Belgium,2015-Q2,8.666667,8.813563956764224
294,Belgium,2015-Q3,8.266666,8.664338654356046
295,Belgium,2015-Q4,8.833333,8.297541811778634
296,Belgium,2016-Q1,8.266666,8.789001544167593
297,Belgium,2016-Q2,8.166667,8.299467318833937
