,Reference area,TIME_PERIOD,Unemp rate,Forecasts
84,Australia,2015-Q1,6.20281,6.2963567
85,Australia,2015-Q2,6.016903,6.1374993
86,Australia,2015-Q3,6.178764,5.9345813
87,Australia,2015-Q4,5.83471,6.140366
88,Australia,2016-Q1,5.796363,5.804824
89,Australia,2016-Q2,5.687189,5.7125654
90,Australia,2016-Q3,5.657904,5.592954
91,Australia,2016-Q4,5.733705,5.5836153
92,Australia,2017-Q1,5.807653,5.6687503
93,Australia,2017-Q2,5.592649,5.7385545
94,Australia,2017-Q3,5.533132,5.5662
95,Australia,2017-Q4,5.491755,5.470501
96,Australia,2018-Q1,5.545322,5.420044
97,Australia,2018-Q2,5.44039,5.598057
98,Australia,2018-Q3,5.186149,5.3794913
99,Australia,2018-Q4,5.043092,5.1780605
100,Australia,2019-Q1,5.043594,4.9980903
101,Australia,2019-Q2,5.224286,4.995514
102,Australia,2019-Q3,5.25421,5.1893687
103,Australia,2019-Q4,5.171724,5.3535533
188,Austria,2015-Q1,6.0,6.143012
189,Austria,2015-Q2,6.266667,5.8509765
190,Austria,2015-Q3,6.066667,6.2305784
191,Austria,2015-Q4,6.3,6.071184
192,Austria,2016-Q1,6.466667,6.286961
193,Austria,2016-Q2,6.6,6.403999
194,Austria,2016-Q3,6.633333,6.5837135
195,Austria,2016-Q4,6.2,6.7268705
196,Austria,2017-Q1,6.166667,6.109617
197,Austria,2017-Q2,5.9,6.0889726
198,Austria,2017-Q3,5.866667,5.8633904
199,Austria,2017-Q4,5.833333,5.7747707
200,Austria,2018-Q1,5.433333,5.7249107
201,Austria,2018-Q2,5.0,5.375738
202,Austria,2018-Q3,5.366667,4.8197293
203,Austria,2018-Q4,5.1,5.2670813
204,Austria,2019-Q1,5.066667,5.0354548
205,Austria,2019-Q2,4.866667,4.980526
206,Austria,2019-Q3,4.8,4.766762
207,Austria,2019-Q4,4.533333,4.7940693
292,Belgium,2015-Q1,8.833333,8.709576
293,Belgium,2015-Q2,8.666667,8.779177
294,Belgium,2015-Q3,8.266666,8.609419
295,Belgium,2015-Q4,8.833333,8.196166
296,Belgium,2016-Q1,8.266666,8.783173
297,Belgium,2016-Q2,8.166667,8.354868
298,Belgium,2016-Q3,7.7,8.108095
299,Belgium,2016-Q4,7.233333,7.564325
300,Belgium,2017-Q1,7.633333,7.080332
301,Belgium,2017-Q2,7.266667,7.515202
302,Belgium,2017-Q3,7.066667,7.3602858
303,Belgium,2017-Q4,6.433333,6.9737043
304,Belgium,2018-Q1,6.133333,6.1928444
305,Belgium,2018-Q2,6.333333,5.9958134
306,Belgium,2018-Q3,5.7,6.145125
307,Belgium,2018-Q4,5.733333,5.6079807
308,Belgium,2019-Q1,5.6,5.6886253
309,Belgium,2019-Q2,5.566667,5.4026046
310,Belgium,2019-Q3,5.133333,5.476968
311,Belgium,2019-Q4,5.2,4.8827863
396,Canada,2015-Q1,6.866667,6.72628
397,Canada,2015-Q2,6.933333,6.8846025
398,Canada,2015-Q3,7.066667,6.972182
399,Canada,2015-Q4,7.133333,7.120631
400,Canada,2016-Q1,7.233333,7.291353
401,Canada,2016-Q2,7.133333,7.285302
402,Canada,2016-Q3,6.966667,7.1728253
403,Canada,2016-Q4,6.866667,6.857429
404,Canada,2017-Q1,6.733333,6.7166643
405,Canada,2017-Q2,6.533333,6.6427693
406,Canada,2017-Q3,6.233333,6.472147
407,Canada,2017-Q4,6.166667,6.1638317
408,Canada,2018-Q1,5.9,5.977653
409,Canada,2018-Q2,5.9,5.798902
410,Canada,2018-Q3,5.9,5.750518
411,Canada,2018-Q4,5.633333,5.782728
412,Canada,2019-Q1,5.766667,5.5732656
413,Canada,2019-Q2,5.6,5.728453
414,Canada,2019-Q3,5.666667,5.5654144
415,Canada,2019-Q4,5.7,5.666081
500,Denmark,2015-Q1,6.366667,6.8386927
501,Denmark,2015-Q2,6.333333,6.176164
502,Denmark,2015-Q3,6.233333,6.233002
503,Denmark,2015-Q4,6.133333,6.174486
504,Denmark,2016-Q1,5.966667,6.0893917
505,Denmark,2016-Q2,6.066667,5.9410753
506,Denmark,2016-Q3,6.0,5.9332395
507,Denmark,2016-Q4,5.9,6.073999
508,Denmark,2017-Q1,6.1,5.913679
509,Denmark,2017-Q2,5.866667,5.963123
510,Denmark,2017-Q3,5.933333,5.788356
511,Denmark,2017-Q4,5.4,5.87152
512,Denmark,2018-Q1,5.2,5.300204
513,Denmark,2018-Q2,5.133333,5.0461755
514,Denmark,2018-Q3,4.9,5.0536385
515,Denmark,2018-Q4,5.266667,4.969075
516,Denmark,2019-Q1,5.133333,5.12685
517,Denmark,2019-Q2,4.9,5.2448583
518,Denmark,2019-Q3,4.866667,4.8467064
519,Denmark,2019-Q4,5.1,4.769234
604,Finland,2015-Q1,9.3,9.309774
605,Finland,2015-Q2,9.7,9.5260935
606,Finland,2015-Q3,9.3,9.727396
607,Finland,2015-Q4,9.5,9.287992
608,Finland,2016-Q1,9.233334,9.431658
609,Finland,2016-Q2,8.9,9.1743
610,Finland,2016-Q3,8.6,8.83672
611,Finland,2016-Q4,8.966666,8.313496
612,Finland,2017-Q1,8.966666,8.904279
613,Finland,2017-Q2,8.966666,8.829052
614,Finland,2017-Q3,8.566667,8.983534
615,Finland,2017-Q4,8.433333,8.415473
616,Finland,2018-Q1,8.433333,8.378737
617,Finland,2018-Q2,7.2,8.253197
618,Finland,2018-Q3,7.3,7.110231
619,Finland,2018-Q4,6.766667,7.09586
620,Finland,2019-Q1,6.733333,6.6694884
621,Finland,2019-Q2,6.766667,6.653021
622,Finland,2019-Q3,6.733333,6.3646727
623,Finland,2019-Q4,6.766667,6.734888
708,France,2015-Q1,10.36667,10.461772
709,France,2015-Q2,10.43333,10.450945
710,France,2015-Q3,10.3,10.362413
711,France,2015-Q4,10.26667,10.23205
712,France,2016-Q1,10.3,10.17678
713,France,2016-Q2,10.0,10.166594
714,France,2016-Q3,9.866667,9.946496
715,France,2016-Q4,10.06667,9.78228
716,France,2017-Q1,9.633333,10.034023
717,France,2017-Q2,9.5,9.541706
718,France,2017-Q3,9.466666,9.391768
719,France,2017-Q4,9.033334,9.377959
720,France,2018-Q1,9.266666,8.926062
721,France,2018-Q2,9.1,9.109408
722,France,2018-Q3,8.933333,9.0739565
723,France,2018-Q4,8.766666,8.866992
724,France,2019-Q1,8.733334,8.640384
725,France,2019-Q2,8.5,8.716984
726,France,2019-Q3,8.3,8.353853
727,France,2019-Q4,8.2,8.230083
812,Germany,2015-Q1,4.5,4.60584
813,Germany,2015-Q2,4.4,4.4367366
814,Germany,2015-Q3,4.3,4.3577905
815,Germany,2015-Q4,4.2,4.2412176
816,Germany,2016-Q1,4.066667,4.125667
817,Germany,2016-Q2,4.0,4.048421
818,Germany,2016-Q3,3.866667,3.8737836
819,Germany,2016-Q4,3.7,3.8203773
820,Germany,2017-Q1,3.633333,3.677106
821,Germany,2017-Q2,3.566667,3.472021
822,Germany,2017-Q3,3.466667,3.4714098
823,Germany,2017-Q4,3.4,3.3671112
824,Germany,2018-Q1,3.3,3.281145
825,Germany,2018-Q2,3.2,3.2817051
