,Reference area,TIME_PERIOD,CPI inflation,RGDP growth,Unemp rate,Forecasts
0,Australia,2015-Q1,1.328274310951505,0.969735031,6.20281,6.253474
1,Australia,2015-Q2,1.510856161653629,0.118177577,6.016903,6.20281
2,Australia,2015-Q3,1.5037259193562802,0.974270987,6.178764,6.016903
3,Australia,2015-Q4,1.6885277545430233,0.620687534,5.83471,6.178764
4,Australia,2016-Q1,1.310882625479426,0.916475884,5.796363,5.83471
5,Australia,2016-Q2,1.0232931583703089,0.658660332,5.687189,5.796363
6,Australia,2016-Q3,1.2962878034093128,-0.009383271,5.657904,5.687189
7,Australia,2016-Q4,1.476061676730578,1.165936591,5.733705,5.657904
8,Australia,2017-Q1,2.125635401780901,0.311883605,5.807653,5.733705
9,Australia,2017-Q2,1.933687689063257,0.598448222,5.592649,5.807653
10,Australia,2017-Q3,1.828212043070021,0.947658517,5.533132,5.592649
11,Australia,2017-Q4,1.9090772939908571,0.399283214,5.491755,5.533132
12,Australia,2018-Q1,1.900537498197297,1.031201283,5.545322,5.491755
13,Australia,2018-Q2,2.07763103373817,0.742217472,5.44039,5.545322
14,Australia,2018-Q3,1.8850854682266995,0.377453659,5.186149,5.44039
15,Australia,2018-Q4,1.784081391149317,0.254932833,5.043092,5.186149
16,Australia,2019-Q1,1.3320710692906523,0.725262388,5.043594,5.043092
17,Australia,2019-Q2,1.5929235583455714,0.305697789,5.224286,5.043594
18,Australia,2019-Q3,1.674037897804559,0.583900808,5.25421,5.224286
19,Australia,2019-Q4,1.8404786395764816,0.590704258,5.171724,5.25421
20,Austria,2015-Q1,0.8520282813341051,0.029269416,6.0,6.1
21,Austria,2015-Q2,1.0201232353641787,0.565311743,6.266667,6.0
22,Austria,2015-Q3,0.9353988115862856,0.375599579,6.066667,6.266667
23,Austria,2015-Q4,0.7786302516183063,0.401298904,6.3,6.066667
24,Austria,2016-Q1,0.974803950043568,1.146126004,6.466667,6.3
25,Austria,2016-Q2,0.5645771201783889,-0.05731429,6.6,6.466667
26,Austria,2016-Q3,0.699258779699008,0.548569491,6.633333,6.6
27,Austria,2016-Q4,1.3280991636750672,0.604465055,6.2,6.633333
28,Austria,2017-Q1,2.0305617977528057,0.984626202,6.166667,6.2
29,Austria,2017-Q2,1.948478522148656,0.322572203,5.9,6.166667
30,Austria,2017-Q3,2.149484679278824,0.634783306,5.866667,5.9
31,Austria,2017-Q4,2.195234401803292,0.474330492,5.833333,5.866667
32,Austria,2018-Q1,1.7944734680852337,0.571056079,5.433333,5.833333
33,Austria,2018-Q2,1.943699862184789,0.805638906,5.0,5.433333
34,Austria,2018-Q3,2.136597314830002,0.41065038,5.366667,5.0
35,Austria,2018-Q4,2.1160468650801345,0.93799508,5.1,5.366667
36,Austria,2019-Q1,1.730817866494605,1.138337258,5.066667,5.1
37,Austria,2019-Q2,1.6841244221398766,-0.619932462,4.866667,5.066667
38,Austria,2019-Q3,1.3946645948616387,0.160808055,4.8,4.866667
39,Austria,2019-Q4,1.3186972601165523,-0.649223825,4.533333,4.8
40,Belgium,2015-Q1,-0.480313031734858,0.267484256,8.833333,8.7
41,Belgium,2015-Q2,0.4915465791456741,0.464991212,8.666667,8.833333
42,Belgium,2015-Q3,0.8078137806842189,0.13664185,8.266666,8.666667
43,Belgium,2015-Q4,1.4319558860975468,0.351601241,8.833333,8.266666
44,Belgium,2016-Q1,1.7907430132084734,0.113810895,8.266666,8.833333
45,Belgium,2016-Q2,2.131798476047675,0.591248886,8.166667,8.266666
46,Belgium,2016-Q3,2.100704860150993,0.182004521,7.7,8.166667
47,Belgium,2016-Q4,1.8713619997237307,0.36803721,7.233333,7.7
48,Belgium,2017-Q1,2.632321338600674,0.614751262,7.633333,7.233333
49,Belgium,2017-Q2,1.912418426141249,0.224791182,7.266667,7.633333
50,Belgium,2017-Q3,1.8958685103583008,-0.060147357,7.066667,7.266667
51,Belgium,2017-Q4,2.069071819981283,0.798698455,6.433333,7.066667
52,Belgium,2018-Q1,1.526172743773868,0.412495646,6.133333,6.433333
53,Belgium,2018-Q2,1.8067488996777128,0.506397402,6.333333,6.133333
54,Belgium,2018-Q3,2.2537070833261508,0.435062951,5.7,6.333333
55,Belgium,2018-Q4,2.620672912417388,0.918875904,5.733333,5.7
56,Belgium,2019-Q1,2.162319292159154,0.410832523,5.6,5.733333
57,Belgium,2019-Q2,1.899499043594344,0.59316201,5.566667,5.6
58,Belgium,2019-Q3,1.1624480848883678,0.789076907,5.133333,5.566667
59,Belgium,2019-Q4,0.5415036365685522,0.550532252,5.2,5.133333
60,Canada,2015-Q1,1.0752655246270226,-0.55677898,6.866667,6.766667
61,Canada,2015-Q2,0.9020822249514726,-0.272994458,6.933333,6.866667
62,Canada,2015-Q3,1.192974784576628,0.358097519,7.066667,6.933333
63,Canada,2015-Q4,1.3304959227715685,0.066272079,7.133333,7.066667
64,Canada,2016-Q1,1.5425919414324696,0.591683798,7.233333,7.133333
65,Canada,2016-Q2,1.551448711036563,-0.498133929,7.133333,7.233333
66,Canada,2016-Q3,1.2313146656559804,1.03778381,6.966667,7.133333
67,Canada,2016-Q4,1.3917680479650585,0.561022275,6.866667,6.966667
68,Canada,2017-Q1,1.9119251420393724,1.258206055,6.733333,6.866667
69,Canada,2017-Q2,1.320494455417709,1.052553159,6.533333,6.733333
70,Canada,2017-Q3,1.371696416726853,0.031402141,6.233333,6.533333
71,Canada,2017-Q4,1.7871771294825534,0.507360861,6.166667,6.233333
72,Canada,2018-Q1,2.0560992080065787,1.162519794,5.9,6.166667
73,Canada,2018-Q2,2.3000339624472232,0.780038215,5.9,5.9
74,Canada,2018-Q3,2.680582859314251,0.504422861,5.9,5.9
75,Canada,2018-Q4,2.035597104619402,0.235568646,5.633333,5.9
76,Canada,2019-Q1,1.611644766911513,0.240663338,5.766667,5.633333
77,Canada,2019-Q2,2.1484406494456376,1.094764819,5.6,5.766667
78,Canada,2019-Q3,1.939378262310276,0.279623055,5.666667,5.6
79,Canada,2019-Q4,2.0947886415736416,0.285513174,5.7,5.666667
80,Denmark,2015-Q1,0.2684496464127717,0.753654587,6.366667,6.866667
81,Denmark,2015-Q2,0.6015742179670491,0.655198752,6.333333,6.366667
82,Denmark,2015-Q3,0.6027830074609275,0.160097384,6.233333,6.333333
83,Denmark,2015-Q4,0.3346686746988014,0.26970094,6.133333,6.233333
84,Denmark,2016-Q1,0.3012048192771122,1.233740421,5.966667,6.133333
85,Denmark,2016-Q2,0.1329568548029458,1.091020138,6.066667,5.966667
86,Denmark,2016-Q3,0.166478084713062,0.815694956,6.0,6.066667
87,Denmark,2016-Q4,0.4002368378998255,0.52907489,5.9,6.0
88,Denmark,2017-Q1,0.9676676676676488,0.967348189,6.1,5.9
89,Denmark,2017-Q2,0.829429054602171,1.206374353,5.866667,6.1
90,Denmark,2017-Q3,1.528713858424724,-0.223431499,5.933333,5.866667
91,Denmark,2017-Q4,1.2624921137847522,0.76070515,5.4,5.933333
92,Denmark,2018-Q1,0.5948444828669963,0.812658,5.2,5.4
93,Denmark,2018-Q2,0.9871668311944636,-0.034955974,5.133333,5.2
94,Denmark,2018-Q3,0.8837973433051927,0.537193737,4.9,5.133333
95,Denmark,2018-Q4,0.7874015748031704,0.148505442,5.266667,4.9
96,Denmark,2019-Q1,1.1826540135827734,0.397379309,5.133333,5.266667
97,Denmark,2019-Q2,0.7494623655913912,0.908929024,4.9,5.133333
98,Denmark,2019-Q3,0.4218690531697211,0.324491239,4.866667,4.9
99,Denmark,2019-Q4,0.6835937499999778,0.352717779,5.1,4.866667
100,Finland,2015-Q1,-0.1217250800293667,-0.824962762,9.3,9.2
101,Finland,2015-Q2,-0.123477247046333,1.44414064,9.7,9.3
102,Finland,2015-Q3,-0.3374663062028493,-0.091109255,9.3,9.7
103,Finland,2015-Q4,-0.2485567272201949,0.573751805,9.5,9.3
