,Reference area,TIME_PERIOD,Unemp rate,Forecasts
84,Australia,2015-Q1,6.20281,6.3358746
85,Australia,2015-Q2,6.016903,6.2006345
86,Australia,2015-Q3,6.178764,5.9950495
87,Australia,2015-Q4,5.83471,6.1454906
88,Australia,2016-Q1,5.796363,5.7369423
89,Australia,2016-Q2,5.687189,5.696651
90,Australia,2016-Q3,5.657904,5.5951667
91,Australia,2016-Q4,5.733705,5.6067367
92,Australia,2017-Q1,5.807653,5.701591
93,Australia,2017-Q2,5.592649,5.819011
94,Australia,2017-Q3,5.533132,5.552382
95,Australia,2017-Q4,5.491755,5.4977365
96,Australia,2018-Q1,5.545322,5.462033
97,Australia,2018-Q2,5.44039,5.5097814
98,Australia,2018-Q3,5.186149,5.402454
99,Australia,2018-Q4,5.043092,5.121954
100,Australia,2019-Q1,5.043594,4.9841337
101,Australia,2019-Q2,5.224286,5.0068655
102,Australia,2019-Q3,5.25421,5.222432
103,Australia,2019-Q4,5.171724,5.275474
188,Austria,2015-Q1,6.0,6.125923
189,Austria,2015-Q2,6.266667,6.014725
190,Austria,2015-Q3,6.066667,6.3024926
191,Austria,2015-Q4,6.3,6.045163
192,Austria,2016-Q1,6.466667,6.314666
193,Austria,2016-Q2,6.6,6.460227
194,Austria,2016-Q3,6.633333,6.6566205
195,Austria,2016-Q4,6.2,6.681663
196,Austria,2017-Q1,6.166667,6.130702
197,Austria,2017-Q2,5.9,6.06735
198,Austria,2017-Q3,5.866667,5.781107
199,Austria,2017-Q4,5.833333,5.803056
200,Austria,2018-Q1,5.433333,5.800904
201,Austria,2018-Q2,5.0,5.3410754
202,Austria,2018-Q3,5.366667,4.8545003
203,Austria,2018-Q4,5.1,5.300148
204,Austria,2019-Q1,5.066667,5.0279746
205,Austria,2019-Q2,4.866667,4.9903946
206,Austria,2019-Q3,4.8,4.831911
207,Austria,2019-Q4,4.533333,4.788041
292,Belgium,2015-Q1,8.833333,8.672448
293,Belgium,2015-Q2,8.666667,8.853765
294,Belgium,2015-Q3,8.266666,8.649831
295,Belgium,2015-Q4,8.833333,8.191336
296,Belgium,2016-Q1,8.266666,8.874579
297,Belgium,2016-Q2,8.166667,8.248996
298,Belgium,2016-Q3,7.7,8.138995
299,Belgium,2016-Q4,7.233333,7.6195374
300,Belgium,2017-Q1,7.633333,7.080333
301,Belgium,2017-Q2,7.266667,7.600508
302,Belgium,2017-Q3,7.066667,7.200954
303,Belgium,2017-Q4,6.433333,7.021618
304,Belgium,2018-Q1,6.133333,6.2719812
305,Belgium,2018-Q2,6.333333,5.947101
306,Belgium,2018-Q3,5.7,6.2190404
307,Belgium,2018-Q4,5.733333,5.5440874
308,Belgium,2019-Q1,5.6,5.605803
309,Belgium,2019-Q2,5.566667,5.513148
310,Belgium,2019-Q3,5.133333,5.4907026
311,Belgium,2019-Q4,5.2,5.014821
396,Canada,2015-Q1,6.866667,6.687425
397,Canada,2015-Q2,6.933333,6.9151235
398,Canada,2015-Q3,7.066667,7.0573378
399,Canada,2015-Q4,7.133333,7.1697917
400,Canada,2016-Q1,7.233333,7.2118716
401,Canada,2016-Q2,7.133333,7.2792006
402,Canada,2016-Q3,6.966667,7.202177
403,Canada,2016-Q4,6.866667,6.9539456
404,Canada,2017-Q1,6.733333,6.8046227
405,Canada,2017-Q2,6.533333,6.624019
406,Canada,2017-Q3,6.233333,6.3745003
407,Canada,2017-Q4,6.166667,6.0997663
408,Canada,2018-Q1,5.9,6.065374
409,Canada,2018-Q2,5.9,5.758904
410,Canada,2018-Q3,5.9,5.800416
411,Canada,2018-Q4,5.633333,5.8384256
412,Canada,2019-Q1,5.766667,5.609749
413,Canada,2019-Q2,5.6,5.799751
414,Canada,2019-Q3,5.666667,5.535972
415,Canada,2019-Q4,5.7,5.6580305
500,Denmark,2015-Q1,6.366667,6.8456964
501,Denmark,2015-Q2,6.333333,6.262273
502,Denmark,2015-Q3,6.233333,6.233304
503,Denmark,2015-Q4,6.133333,6.168161
504,Denmark,2016-Q1,5.966667,6.0987654
505,Denmark,2016-Q2,6.066667,5.8711357
506,Denmark,2016-Q3,6.0,5.997728
507,Denmark,2016-Q4,5.9,5.921759
508,Denmark,2017-Q1,6.1,5.8453865
509,Denmark,2017-Q2,5.866667,6.0895586
510,Denmark,2017-Q3,5.933333,5.794066
511,Denmark,2017-Q4,5.4,5.953556
512,Denmark,2018-Q1,5.2,5.33812
513,Denmark,2018-Q2,5.133333,5.0856037
514,Denmark,2018-Q3,4.9,5.069405
515,Denmark,2018-Q4,5.266667,4.8245435
516,Denmark,2019-Q1,5.133333,5.2938466
