STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2026-Q2,,140.9315,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,IDN,Indonesia,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2026-Q2,,137.1663,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,GBR,United Kingdom,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,2026-Q2,,142.1,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1980-Q1,,4.69846,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1980-Q2,,4.852004,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1980-Q3,,5.066967,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1980-Q4,,5.312637,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1981-Q1,,5.450828,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1981-Q2,,5.573663,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1981-Q3,,5.865397,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1981-Q4,,6.08036,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1982-Q1,,6.233904,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1982-Q2,,6.49493,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1982-Q3,,6.679183,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1982-Q4,,6.924854,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1983-Q1,,7.109107,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1983-Q2,,7.308715,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1983-Q3,,7.492969,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1983-Q4,,7.661868,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,ZAF,South Africa,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,1984-Q1,,7.830766,,A,Normal value,,,2015,,,,2,Two
