,Reference area,TIME_PERIOD,OBS_VALUE
0,Australia,1994-Q1,10.44028
1,Australia,1994-Q2,9.882815
2,Australia,1994-Q3,9.477625
3,Australia,1994-Q4,9.057627
4,Australia,1995-Q1,8.765343
5,Australia,1995-Q2,8.364922
6,Australia,1995-Q3,8.370487
7,Australia,1995-Q4,8.390849
8,Australia,1996-Q1,8.400038
9,Australia,1996-Q2,8.415771
10,Australia,1996-Q3,8.62252
11,Australia,1996-Q4,8.620516
12,Australia,1997-Q1,8.621316
13,Australia,1997-Q2,8.482457
14,Australia,1997-Q3,8.374417
15,Australia,1997-Q4,7.97712
16,Australia,1998-Q1,7.84089
17,Australia,1998-Q2,7.73381
18,Australia,1998-Q3,7.788205
19,Australia,1998-Q4,7.374734
20,Australia,1999-Q1,7.082412
21,Australia,1999-Q2,6.886082
22,Australia,1999-Q3,6.874343
23,Australia,1999-Q4,6.633913
24,Australia,2000-Q1,6.650461
25,Australia,2000-Q2,6.302037
26,Australia,2000-Q3,5.989693
27,Australia,2000-Q4,6.172072
28,Australia,2001-Q1,6.36621
29,Australia,2001-Q2,6.869499
30,Australia,2001-Q3,6.86773
31,Australia,2001-Q4,6.979427
32,Australia,2002-Q1,6.627514
33,Australia,2002-Q2,6.404686
34,Australia,2002-Q3,6.280427
35,Australia,2002-Q4,6.157783
36,Australia,2003-Q1,6.056242
37,Australia,2003-Q2,6.05117
38,Australia,2003-Q3,5.907149
39,Australia,2003-Q4,5.708917
40,Australia,2004-Q1,5.537339
41,Australia,2004-Q2,5.435778
42,Australia,2004-Q3,5.479475
43,Australia,2004-Q4,5.117515
44,Australia,2005-Q1,5.106749
45,Australia,2005-Q2,5.057162
46,Australia,2005-Q3,4.958565
47,Australia,2005-Q4,5.007926
48,Australia,2006-Q1,5.044225
49,Australia,2006-Q2,4.857341
50,Australia,2006-Q3,4.678329
51,Australia,2006-Q4,4.515448
52,Australia,2007-Q1,4.54921
53,Australia,2007-Q2,4.324918
54,Australia,2007-Q3,4.255192
55,Australia,2007-Q4,4.35379
56,Australia,2008-Q1,4.086197
57,Australia,2008-Q2,4.258538
58,Australia,2008-Q3,4.184956
59,Australia,2008-Q4,4.441004
60,Australia,2009-Q1,5.307328
61,Australia,2009-Q2,5.729005
62,Australia,2009-Q3,5.683148
63,Australia,2009-Q4,5.557805
64,Australia,2010-Q1,5.328965
65,Australia,2010-Q2,5.290912
66,Australia,2010-Q3,5.124851
67,Australia,2010-Q4,5.090294
68,Australia,2011-Q1,4.96723
69,Australia,2011-Q2,4.963186
70,Australia,2011-Q3,5.194829
71,Australia,2011-Q4,5.20525
72,Australia,2012-Q1,5.140916
73,Australia,2012-Q2,5.119216
74,Australia,2012-Q3,5.275849
75,Australia,2012-Q4,5.366574
76,Australia,2013-Q1,5.474746
77,Australia,2013-Q2,5.631184
78,Australia,2013-Q3,5.728566
79,Australia,2013-Q4,5.840098
80,Australia,2014-Q1,5.899516
81,Australia,2014-Q2,5.927537
82,Australia,2014-Q3,6.169819
83,Australia,2014-Q4,6.253474
84,Australia,2015-Q1,6.20281
85,Australia,2015-Q2,6.016903
86,Australia,2015-Q3,6.178764
87,Australia,2015-Q4,5.83471
88,Australia,2016-Q1,5.796363
89,Australia,2016-Q2,5.687189
90,Australia,2016-Q3,5.657904
91,Australia,2016-Q4,5.733705
92,Australia,2017-Q1,5.807653
93,Australia,2017-Q2,5.592649
94,Australia,2017-Q3,5.533132
95,Australia,2017-Q4,5.491755
96,Australia,2018-Q1,5.545322
97,Australia,2018-Q2,5.44039
98,Australia,2018-Q3,5.186149
99,Australia,2018-Q4,5.043092
100,Australia,2019-Q1,5.043594
101,Australia,2019-Q2,5.224286
102,Australia,2019-Q3,5.25421
103,Australia,2019-Q4,5.171724
104,Austria,1994-Q1,3.9
105,Austria,1994-Q2,3.833333
106,Austria,1994-Q3,3.8
107,Austria,1994-Q4,3.8
108,Austria,1995-Q1,3.933333
109,Austria,1995-Q2,4.1
110,Austria,1995-Q3,4.366667
111,Austria,1995-Q4,4.566667
112,Austria,1996-Q1,4.766667
113,Austria,1996-Q2,4.8
114,Austria,1996-Q3,4.7
115,Austria,1996-Q4,4.6
116,Austria,1997-Q1,4.666667
117,Austria,1997-Q2,4.7
118,Austria,1997-Q3,4.8
119,Austria,1997-Q4,4.866667
120,Austria,1998-Q1,4.933333
121,Austria,1998-Q2,4.833333
122,Austria,1998-Q3,4.666667
123,Austria,1998-Q4,4.4
124,Austria,1999-Q1,4.233333
125,Austria,1999-Q2,4.2
126,Austria,1999-Q3,4.033333
127,Austria,1999-Q4,4.1
128,Austria,2000-Q1,4.233333
129,Austria,2000-Q2,3.7
130,Austria,2000-Q3,3.833333
131,Austria,2000-Q4,3.766667
132,Austria,2001-Q1,3.633333
133,Austria,2001-Q2,4.0
134,Austria,2001-Q3,4.1
135,Austria,2001-Q4,4.3
136,Austria,2002-Q1,4.5
137,Austria,2002-Q2,4.233333
138,Austria,2002-Q3,4.4
139,Austria,2002-Q4,4.433333
140,Austria,2003-Q1,4.533333
141,Austria,2003-Q2,4.8
142,Austria,2003-Q3,4.8
143,Austria,2003-Q4,5.033333
144,Austria,2004-Q1,6.0
145,Austria,2004-Q2,5.8
146,Austria,2004-Q3,5.766667
147,Austria,2004-Q4,5.933333
148,Austria,2005-Q1,5.8
149,Austria,2005-Q2,6.1
150,Austria,2005-Q3,6.066667
151,Austria,2005-Q4,6.133333
152,Austria,2006-Q1,6.066667
153,Austria,2006-Q2,5.7
154,Austria,2006-Q3,5.3
155,Austria,2006-Q4,5.333333
156,Austria,2007-Q1,5.233333
157,Austria,2007-Q2,5.433333
158,Austria,2007-Q3,5.266667
159,Austria,2007-Q4,4.833333
160,Austria,2008-Q1,4.533333
161,Austria,2008-Q2,4.1
162,Austria,2008-Q3,4.333333
163,Austria,2008-Q4,4.7
164,Austria,2009-Q1,5.133333
165,Austria,2009-Q2,5.733333
166,Austria,2009-Q3,6.133333
167,Austria,2009-Q4,5.766667
168,Austria,2010-Q1,5.4
169,Austria,2010-Q2,5.366667
170,Austria,2010-Q3,5.166667
171,Austria,2010-Q4,4.866667
172,Austria,2011-Q1,5.133333
173,Austria,2011-Q2,4.8
174,Austria,2011-Q3,4.333333
175,Austria,2011-Q4,5.233333
176,Austria,2012-Q1,4.866667
177,Austria,2012-Q2,5.2
178,Austria,2012-Q3,5.5
179,Austria,2012-Q4,5.4
180,Austria,2013-Q1,5.833333
181,Austria,2013-Q2,5.433333
182,Austria,2013-Q3,5.7
183,Austria,2013-Q4,5.866667
184,Austria,2014-Q1,6.1
185,Austria,2014-Q2,5.866667
186,Austria,2014-Q3,6.066667
187,Austria,2014-Q4,6.1
188,Austria,2015-Q1,6.0
189,Austria,2015-Q2,6.266667
190,Austria,2015-Q3,6.066667
191,Austria,2015-Q4,6.3
192,Austria,2016-Q1,6.466667
193,Austria,2016-Q2,6.6
194,Austria,2016-Q3,6.633333
195,Austria,2016-Q4,6.2
196,Austria,2017-Q1,6.166667
197,Austria,2017-Q2,5.9
198,Austria,2017-Q3,5.866667
199,Austria,2017-Q4,5.833333
200,Austria,2018-Q1,5.433333
201,Austria,2018-Q2,5.0
202,Austria,2018-Q3,5.366667
203,Austria,2018-Q4,5.1
204,Austria,2019-Q1,5.066667
205,Austria,2019-Q2,4.866667
206,Austria,2019-Q3,4.8
207,Austria,2019-Q4,4.533333
208,Belgium,1994-Q1,9.666667
209,Belgium,1994-Q2,9.8
210,Belgium,1994-Q3,9.8
211,Belgium,1994-Q4,9.733334
212,Belgium,1995-Q1,9.666667
213,Belgium,1995-Q2,9.6
