Model, Country, MAE, RMSE
Naive, Australia, 0.1117, 0.1411
Naive, Austria, 0.1983, 0.2403
Naive, Belgium, 0.315, 0.3723
Naive, Canada, 0.1233, 0.1483
Naive, Denmark, 0.185, 0.2311
Naive, Finland, 0.245, 0.3725
Naive, France, 0.1667, 0.2025
Naive, Germany, 0.0917, 0.0986
Naive, Ireland, 0.32, 0.391
Naive, Italy, 0.225, 0.2905
Naive, Japan, 0.0717, 0.0916
Naive, Korea, 0.1233, 0.1609
Naive, Luxembourg, 0.11, 0.1563
Naive, Mexico, 0.1272, 0.1404
Naive, Netherlands, 0.2017, 0.2303
Naive, New Zealand, 0.2, 0.2757
Naive, Norway, 0.2133, 0.2558
Naive, Portugal, 0.4083, 0.5175
Naive, Spain, 0.495, 0.5556
Naive, Sweden, 0.1667, 0.2383
Naive, United Kingdom, 0.14, 0.1581
Naive, United States, 0.1183, 0.1443
FFNN, Australia, 0.1242, 0.1473
FFNN, Austria, 0.2016, 0.2551
FFNN, Belgium, 0.3088, 0.3507
FFNN, Canada, 0.1012, 0.1216
FFNN, Denmark, 0.17, 0.2192
FFNN, Finland, 0.2513, 0.3509
FFNN, France, 0.1355, 0.1784
FFNN, Germany, 0.0723, 0.085
FFNN, Ireland, 0.3882, 0.5189
FFNN, Italy, 0.2506, 0.2992
FFNN, Japan, 0.0767, 0.0904
FFNN, Korea, 0.1436, 0.1948
FFNN, Luxembourg, 0.1408, 0.1808
FFNN, Mexico, 0.143, 0.1646
FFNN, Netherlands, 0.1191, 0.1478
FFNN, New Zealand, 0.1966, 0.2751
FFNN, Norway, 0.2061, 0.2552
FFNN, Portugal, 0.3223, 0.4077
FFNN, Spain, 0.2693, 0.323
FFNN, Sweden, 0.176, 0.231
FFNN, United Kingdom, 0.1233, 0.1505
FFNN, United States, 0.0899, 0.1184
RNN, Australia, 0.1144, 0.1407
RNN, Austria, 0.1927, 0.2397
RNN, Belgium, 0.3167, 0.3713
RNN, Canada, 0.1122, 0.1302
RNN, Denmark, 0.1824, 0.2401
RNN, Finland, 0.2461, 0.3583
RNN, France, 0.1567, 0.1983
RNN, Germany, 0.0648, 0.0768
RNN, Ireland, 0.2376, 0.3183
RNN, Italy, 0.2377, 0.2824
RNN, Japan, 0.064, 0.0866
RNN, Korea, 0.1338, 0.1767
RNN, Luxembourg, 0.1437, 0.179
RNN, Mexico, 0.1178, 0.137
RNN, Netherlands, 0.1289, 0.1484
RNN, New Zealand, 0.2079, 0.2937
RNN, Norway, 0.2095, 0.2599
RNN, Portugal, 0.3089, 0.3997
RNN, Spain, 0.2572, 0.3026
RNN, Sweden, 0.1889, 0.2524
RNN, United Kingdom, 0.1199, 0.1414
RNN, United States, 0.0912, 0.1168
ARIMAX, Australia, 0.1166, 0.159
ARIMAX, Austria, 0.1959, 0.2362
ARIMAX, Belgium, 0.3409, 0.4024
ARIMAX, Canada, 0.1533, 0.1757
ARIMAX, Denmark, 0.1874, 0.2262
ARIMAX, Finland, 0.228, 0.3625
ARIMAX, France, 0.1638, 0.2155
ARIMAX, Germany, 0.0573, 0.0653
ARIMAX, Ireland, 0.2161, 0.2707
ARIMAX, Italy, 0.2443, 0.2976
ARIMAX, Japan, 0.0676, 0.0824
ARIMAX, Korea, 0.1264, 0.1686
ARIMAX, Luxembourg, 0.1267, 0.1667
ARIMAX, Mexico, 0.1266, 0.1422
ARIMAX, Netherlands, 0.1378, 0.1689
ARIMAX, New Zealand, 0.2195, 0.2829
ARIMAX, Norway, 0.2098, 0.2528
ARIMAX, Portugal, 0.2991, 0.4381
ARIMAX, Spain, 0.2192, 0.2686
ARIMAX, Sweden, 0.2159, 0.2957
ARIMAX, United Kingdom, 0.138, 0.1657
ARIMAX, United States, 0.1107, 0.1286
