,Reference area,TIME_PERIOD,CPI inflation,RGDP growth,Unemp rate,Naive forecast,FFNN,RNN,ARIMAX
0,Australia,2020-Q1,2.191059480781754,-0.219007927,5.186515,5.171724,5.16883,5.1581798,5.121603677523376
1,Australia,2020-Q2,-0.3484431671842536,-6.742887094,6.903799,5.186515,5.208981,5.209684,5.146536755531181
2,Australia,2020-Q3,0.6931692643019183,3.474876349,7.052707,6.903799,11.080079,7.491462,7.590492964009473
3,Australia,2020-Q4,0.8606590416921245,3.404353553,6.77357,7.052707,7.1170707,7.149331,7.48308964172478
4,Australia,2021-Q1,1.1149814200545285,2.162072543,5.932023,6.77357,6.5048385,6.5088253,6.643415091127574
5,Australia,2021-Q2,3.8461828066291615,0.820432069,5.198704,5.932023,5.762846,5.5393863,5.896783179522883
6,Australia,2021-Q3,3.01212131882469,-1.712775774,4.667748,5.198704,4.614843,4.8340235,4.8985773794364444
7,Australia,2021-Q4,3.4982420132646075,3.628424197,4.693592,4.667748,4.5938883,4.4381843,4.546138510046898
8,Australia,2022-Q1,5.089035053271251,0.928819214,4.05985,4.693592,4.5251064,4.420095,4.71613435749125
9,Australia,2022-Q2,6.144817460029728,0.990656205,3.797457,4.05985,3.9175825,3.7715352,3.925574630868046
10,Australia,2022-Q3,7.268105271395786,0.480490991,3.526133,3.797457,3.4320993,3.571923,3.634507681737387
11,Australia,2022-Q4,7.831870740267965,0.82515083,3.49321,3.526133,2.9252887,3.454599,3.480120599774459
12,Australia,2023-Q1,7.021817439177536,0.477916442,3.621526,3.49321,3.5548265,3.498976,3.483522297175252
13,Australia,2023-Q2,6.026981078747906,0.455133599,3.601453,3.621526,3.7604597,3.706415,3.711230370226727
14,Australia,2023-Q3,5.373856267248778,0.403230649,3.653215,3.601453,3.5810812,3.679449,3.609201586457134
15,Australia,2023-Q4,4.051970460178778,-0.00777505,3.899603,3.653215,3.9272027,3.7250974,3.625590507826343
16,Austria,2020-Q1,1.871705775149524,-1.109845724,4.7,4.533333,4.4662485,4.532887,4.575334998557033
17,Austria,2020-Q2,1.0439930319207755,-12.60560454,7.0,4.7,4.765061,4.7918806,4.711991946579238
18,Austria,2020-Q3,1.4135587974621222,11.496250297,6.433333,7.0,12.205379,7.71055,7.459512974336295
19,Austria,2020-Q4,1.2039119467969206,-1.483235686,6.266667,6.433333,6.060829,6.420435,6.507810174775483
20,Austria,2021-Q1,1.337740196137549,-0.973360411,7.166667,6.266667,6.448987,5.9201546,6.157642700579846
21,Austria,2021-Q2,2.50827446639319,4.607600028,6.733333,7.166667,6.813084,7.2534437,7.028115387256828
22,Austria,2021-Q3,3.1333087337015897,3.136294338,5.566667,6.733333,5.7397704,6.495609,6.565463754570489
